Jrk nr,Maakond,G01Q02Klass. Mitmendas klassis õpib Teie laps?,"G01Q03. Kas olete teadlik, et Teie lapse koolis rakendatakse koolikava (koolipiima ning koolipuu- ja köögivilja programm)?",G01Q14. Kus Te elate?,"G02Q04SuuakseKV[1]. Palun hinnake, milliseid  värskeid köögivilju süüakse Teie kodus kõige meelsamini.   Palun märkige kuni 5 vilja, mida süüakse meelsasti.  [Järjestus 1]","G02Q04SuuakseKV[2]. Palun hinnake, milliseid  värskeid köögivilju süüakse Teie kodus kõige meelsamini.   Palun märkige kuni 5 vilja, mida süüakse meelsasti.  [Järjestus 2]","G02Q04SuuakseKV[3]. Palun hinnake, milliseid  värskeid köögivilju süüakse Teie kodus kõige meelsamini.   Palun märkige kuni 5 vilja, mida süüakse meelsasti.  [Järjestus 3]","G02Q04SuuakseKV[4]. Palun hinnake, milliseid  värskeid köögivilju süüakse Teie kodus kõige meelsamini.   Palun märkige kuni 5 vilja, mida süüakse meelsasti.  [Järjestus 4]","G02Q04SuuakseKV[5]. Palun hinnake, milliseid  värskeid köögivilju süüakse Teie kodus kõige meelsamini.   Palun märkige kuni 5 vilja, mida süüakse meelsasti.  [Järjestus 5]","G02Q05SuuakseMarjad[1]. Palun hinnake, milliseid  puuvilju ja marju süüakse teie kodus kõige meelsamini.  Palun märkige kuni 5 vilja, mida süüakse meelsasti.   [Järjestus 1]","G02Q05SuuakseMarjad[2]. Palun hinnake, milliseid  puuvilju ja marju süüakse teie kodus kõige meelsamini.  Palun märkige kuni 5 vilja, mida süüakse meelsasti.   [Järjestus 2]","G02Q05SuuakseMarjad[3]. Palun hinnake, milliseid  puuvilju ja marju süüakse teie kodus kõige meelsamini.  Palun märkige kuni 5 vilja, mida süüakse meelsasti.   [Järjestus 3]","G02Q05SuuakseMarjad[4]. Palun hinnake, milliseid  puuvilju ja marju süüakse teie kodus kõige meelsamini.  Palun märkige kuni 5 vilja, mida süüakse meelsasti.   [Järjestus 4]","G02Q05SuuakseMarjad[5]. Palun hinnake, milliseid  puuvilju ja marju süüakse teie kodus kõige meelsamini.  Palun märkige kuni 5 vilja, mida süüakse meelsasti.   [Järjestus 5]","G02Q06SuuaksePiim[1]. Palun hinnake, milliseid piimatooteid süüakse Teie kodus kõige meelsamini.   Palun märkige kuni 3 toodet.  [Järjestus 1]","G02Q06SuuaksePiim[2]. Palun hinnake, milliseid piimatooteid süüakse Teie kodus kõige meelsamini.   Palun märkige kuni 3 toodet.  [Järjestus 2]","G02Q06SuuaksePiim[3]. Palun hinnake, milliseid piimatooteid süüakse Teie kodus kõige meelsamini.   Palun märkige kuni 3 toodet.  [Järjestus 3]","G02Q07Suuakse[SQ001]. Kui sageli Te sööte kodus värskeid puu- ja köögivilju, marju (v.a kartul) ning piimatooteid?  [Värsked puuviljad]","G02Q07Suuakse[SQ002]. Kui sageli Te sööte kodus värskeid puu- ja köögivilju, marju (v.a kartul) ning piimatooteid?  [Värsked köögiviljad ]","G02Q07Suuakse[SQ003]. Kui sageli Te sööte kodus värskeid puu- ja köögivilju, marju (v.a kartul) ning piimatooteid?  [Värsked või eelnevalt külmutatud marjad ]","G02Q07Suuakse[SQ004]. Kui sageli Te sööte kodus värskeid puu- ja köögivilju, marju (v.a kartul) ning piimatooteid?  [Joogipiim]","G02Q07Suuakse[SQ005]. Kui sageli Te sööte kodus värskeid puu- ja köögivilju, marju (v.a kartul) ning piimatooteid?  [Keefir]","G02Q07Suuakse[SQ006]. Kui sageli Te sööte kodus värskeid puu- ja köögivilju, marju (v.a kartul) ning piimatooteid?  [Hapupiim]","G02Q07Suuakse[SQ007]. Kui sageli Te sööte kodus värskeid puu- ja köögivilju, marju (v.a kartul) ning piimatooteid?  [Pett]","G02Q07Suuakse[SQ008]. Kui sageli Te sööte kodus värskeid puu- ja köögivilju, marju (v.a kartul) ning piimatooteid?  [Jogurt]",G03Q8Muutus[SQ001]. Milliseid muutusi olete märganud oma lapse toitumisharjumustes​​​ viimase aasta jooksul?  [Köögivilja osas],G03Q8Muutus[SQ002]. Milliseid muutusi olete märganud oma lapse toitumisharjumustes​​​ viimase aasta jooksul?  [Puuvilja osas],G03Q8Muutus[SQ003]. Milliseid muutusi olete märganud oma lapse toitumisharjumustes​​​ viimase aasta jooksul?  [Piimatoodete osas],"G03Q10Sagedus. Palun hinnake, kui sagedasti räägite oma lapsega tervislikust toitumisest?","G02Q12Vajalikkus[SQ001]. Palun hinnake, kui vajalikuks peate koolikava läbiviimist Teie lapse koolis?  [Koolipiimakava]","G02Q12Vajalikkus[SQ002]. Palun hinnake, kui vajalikuks peate koolikava läbiviimist Teie lapse koolis?  [Koolipuuvilja ja -köögiviljakava]","G02Q12Vajalikkus[SQ003]. Palun hinnake, kui vajalikuks peate koolikava läbiviimist Teie lapse koolis?  [Kaasnevad haridusmeetmed]"
137,Harjumaa,4. klassis,"Jah, olen",Maal,Kurk,Tomat,Porgand,Paprika,Herned,Maasikad,Mustikad,Õun,Pirn,Vaarikad,Joogipiim,Jogurt,,Iga päev,5-6 päeval nädalas,3-4 päeval nädalas,3-4 päeval nädalas,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,3-4 päeval nädalas,Sööb pigem vähem,Ei ole muutusi,Sööb pigem rohkem,Mitu korda nädalas,Pigem ebavajalik,Väga vajalik,Pigem vajalik
138,Tartumaa,8. klassis,"Jah, olen",Linna lähikonnas,Kurk,Kaalikas,Paprika,Peet,Tomat,Maasikad,Mustikad,Vaarikad,Õun,Mustad sõstrad,Joogipiim,Hapupiim,,Iga päev,Iga päev,5-6 päeval nädalas,5-6 päeval nädalas,5-6 päeval nädalas,Paar korda kuus,Paar korda kuus,1-2 korda nädalas,Sööb pigem rohkem,Sööb pigem rohkem,Sööb pigem rohkem,Kord nädalas,Väga vajalik,Väga vajalik,Väga vajalik
140,Tartumaa,8. klassis,"Jah, olen",Linnas,Porgand,Kurk,Tomat,Paprika,"Kapsas (valge, punane) ",Maasikad,Vaarikad,Ploomid,Õun,Mustikad,Joogipiim,Jogurt,Keefir,5-6 päeval nädalas,5-6 päeval nädalas,1-2 korda nädalas,Iga päev,Paar korda kuus,Ei söö/joo üldse,Paar korda kuus,1-2 korda nädalas,Sööb pigem rohkem,Ei ole muutusi,Ei ole muutusi,Mitu korda kuus,,,
141,Tartumaa,8. klassis,Ei ole,Maal,Kurk,Tomat,Porgand,"Kapsas (valge, punane) ",Paprika,Maasikad,Mustad sõstrad,Vaarikad,Õun,Mustikad,Joogipiim,Keefir,Jogurt,3-4 päeval nädalas,3-4 päeval nädalas,1-2 korda nädalas,1-2 korda nädalas,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,Paar korda kuus,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Kord nädalas,Pigem ebavajalik,Väga vajalik,Pigem vajalik
142,Tartumaa,8. klassis,"Jah, olen",Linna lähikonnas,Porgand,Kurk,Paprika,Peet,Hiina kapsas,Õun,Maasikad,Mustikad,Pirn,Vaarikad,Joogipiim,Keefir,Jogurt,Iga päev,Iga päev,3-4 päeval nädalas,5-6 päeval nädalas,1-2 korda nädalas,Ei söö/joo üldse,Ei söö/joo üldse,Paar korda kuus,Sööb palju rohkem,Sööb pigem vähem,Sööb pigem vähem,Vähemalt kord päevas,Väga vajalik,Väga vajalik,Väga vajalik
143,Tartumaa,8. klassis,Ei oska öelda,Linna lähikonnas,Herned,Kurk,Paprika,Porgand,Tomat,Maasikad,Vaarikad,Kirsid,Ploomid,Karusmarjad (tikrid),Jogurt,,,1-2 korda nädalas,1-2 korda nädalas,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,Ei söö/joo üldse,Ei söö/joo üldse,5-6 päeval nädalas,Sööb pigem vähem,Sööb pigem vähem,Ei ole muutusi,Mitu korda nädalas,Täiesti ebavajalik,Väga vajalik,Pigem vajalik
145,Tartumaa,8. klassis,"Jah, olen",Linna lähikonnas,Spargel ,Paprika,"Suvikõrvits, kabatšokk",Spargelkapsas ehk brokoli,Lillkapsas,Maasikad,Mustikad,Kirsid,Karusmarjad (tikrid),Õun,Keefir,Jogurt,,Iga päev,5-6 päeval nädalas,3-4 päeval nädalas,Ei söö/joo üldse,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,Iga päev,Sööb pigem vähem,Sööb pigem vähem,Ei ole muutusi,Mitu korda kuus,Pigem vajalik,Väga vajalik,Väga vajalik
146,Põlvamaa,4. klassis,"Jah, olen",Linnas,Kurk,Porgand,"Kapsas (valge, punane) ",Kaalikas,Herned,Õun,Pirn,Maasikad,Mustikad,,Joogipiim,Jogurt,Keefir,3-4 päeval nädalas,Iga päev,3-4 päeval nädalas,Iga päev,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,1-2 korda nädalas,Ei ole muutusi,Ei ole muutusi,Sööb pigem vähem,Mitu korda nädalas,Väga vajalik,Väga vajalik,Väga vajalik
147,Tartumaa,8. klassis,"Jah, olen",Linna lähikonnas,Tomat,Kurk,Porgand,Spargel ,,Õun,Mustikad,Vaarikad,Kirsid,Astelpaju marjad,Jogurt,Joogipiim,Keefir,Iga päev,3-4 päeval nädalas,1-2 korda nädalas,3-4 päeval nädalas,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,3-4 päeval nädalas,Sööb pigem rohkem,Ei ole muutusi,Sööb pigem vähem,Kord nädalas,Väga vajalik,Väga vajalik,Väga vajalik
149,Tartumaa,8. klassis,"Jah, olen",Linna lähikonnas,Kurk,Leht- ja peasalat,Tomat,Paprika,Lillkapsas,Õun,Vaarikad,Maasikad,Pirn,Mustikad,Joogipiim,Keefir,Jogurt,5-6 päeval nädalas,Iga päev,3-4 päeval nädalas,Iga päev,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,1-2 korda nädalas,Sööb pigem rohkem,Sööb pigem rohkem,Sööb pigem vähem,Kord nädalas,Väga vajalik,Väga vajalik,Väga vajalik
150,Tartumaa,8. klassis,"Jah, olen",Linna lähikonnas,Kurk,Paprika,Porgand,Tomat,Hiina kapsas,Mustikad,Vaarikad,Maasikad,Pirn,Õun,Jogurt,Keefir,,Iga päev,3-4 päeval nädalas,1-2 korda nädalas,1-2 korda nädalas,1-2 korda nädalas,Ei söö/joo üldse,Ei söö/joo üldse,1-2 korda nädalas,Sööb pigem vähem,Ei ole muutusi,Sööb pigem vähem,Mitu korda nädalas,Väga vajalik,Väga vajalik,Pigem vajalik
151,Põlvamaa,4. klassis,"Jah, olen",Linnas,Hiina kapsas,Kurk,Paprika,Redis,Tomat,Maasikad,Mustikad,Õun,Pirn,Kirsid,Joogipiim,Jogurt,,5-6 päeval nädalas,3-4 päeval nädalas,3-4 päeval nädalas,Iga päev,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,3-4 päeval nädalas,Sööb pigem rohkem,Sööb pigem rohkem,Sööb pigem rohkem,Mitu korda nädalas,,,
153,Harjumaa,4. klassis,Ei ole,Linna lähikonnas,Kurk,Paprika,Nuikapsas ,Tomat,Porgand,Mustikad,Kirsid,Karusmarjad (tikrid),Maasikad,Pirn,Joogipiim,,,1-2 korda nädalas,5-6 päeval nädalas,Paar korda kuus,Iga päev,Ei söö/joo üldse,Ei söö/joo üldse,Ei söö/joo üldse,Paar korda kuus,Sööb pigem rohkem,Sööb pigem vähem,Ei ole muutusi,Mitu korda nädalas,Pigem vajalik,Väga vajalik,Pigem vajalik
154,Tartumaa,8. klassis,"Jah, olen",Linna lähikonnas,Kurk,Lehtkapsas ,Porgand,Tomat,Paprika,Kirsid,Maasikad,Mustikad,Pirn,Õun,Joogipiim,,,5-6 päeval nädalas,3-4 päeval nädalas,1-2 korda nädalas,Iga päev,Ei söö/joo üldse,Ei söö/joo üldse,Ei söö/joo üldse,Paar korda kuus,Sööb pigem rohkem,Ei ole muutusi,Ei ole muutusi,Kord nädalas,Väga vajalik,Väga vajalik,Väga vajalik
155,Tartumaa,8. klassis,Ei ole,Maal,Herned,Kaalikas,"Kapsas (valge, punane) ",Kurk,Lillkapsas,Mustikad,Maasikad,Vaarikad,Õun,Punased sõstrad,Joogipiim,Jogurt,,5-6 päeval nädalas,3-4 päeval nädalas,1-2 korda nädalas,Iga päev,Ei oska öelda,Ei oska öelda,Ei oska öelda,1-2 korda nädalas,Sööb pigem rohkem,Sööb pigem rohkem,Sööb pigem rohkem,Mitu korda nädalas,Väga vajalik,Väga vajalik,Pigem vajalik
157,Pärnumaa,8. klassis,"Jah, olen",Linnas,Tomat,Paprika,Kurk,Lillkapsas,Sibul,Õun,Maasikad,Vaarikad,Pohlad,Ploomid,Joogipiim,Jogurt,,5-6 päeval nädalas,1-2 korda nädalas,Ei söö/joo üldse,Ei söö/joo üldse,Ei söö/joo üldse,3-4 päeval nädalas,Ei oska öelda,1-2 korda nädalas,Sööb pigem rohkem,Sööb pigem rohkem,Ei oska öelda,Kord nädalas,Pigem ebavajalik,Väga vajalik,Pigem ebavajalik
158,Pärnumaa,4. klassis,Ei oska öelda,Linnas,Herned,Kurk,Porgand,Spargelkapsas ehk brokoli,Paprika,Maasikad,Õun,Pirn,Vaarikad,Mustikad,Joogipiim,Jogurt,,3-4 päeval nädalas,3-4 päeval nädalas,1-2 korda nädalas,Iga päev,Ei söö/joo üldse,Ei söö/joo üldse,Ei söö/joo üldse,3-4 päeval nädalas,Sööb pigem rohkem,Ei ole muutusi,Sööb pigem rohkem,,,,
159,Tartumaa,8. klassis,"Jah, olen",Linna lähikonnas,Redis,Porgand,Sibul,Herned,Tomat,Maasikad,Mustad sõstrad,Vaarikad,Punased sõstrad,Õun,Joogipiim,Keefir,Jogurt,Paar korda kuus,Paar korda kuus,Paar korda kuus,5-6 päeval nädalas,Ei oska öelda,Ei söö/joo üldse,Ei söö/joo üldse,Paar korda kuus,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Mitu korda kuus,Pigem vajalik,Väga vajalik,Pigem vajalik
161,Pärnumaa,8. klassis,Ei ole,Linnas,Kurk,Tomat,Sibul,Porgand,Peet,Õun,Vaarikad,Pirn,Mustikad,Maasikad,Joogipiim,Jogurt,,1-2 korda nädalas,Iga päev,Paar korda kuus,Iga päev,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,1-2 korda nädalas,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Mitu korda kuus,Väga vajalik,Väga vajalik,Väga vajalik
162,Pärnumaa,4. klassis,"Jah, olen",Linna lähikonnas,Hiina kapsas,"Kapsas (valge, punane) ",Lillkapsas,Porgand,Kurk,Maasikad,Mustikad,Pirn,Õun,Vaarikad,Jogurt,Joogipiim,Keefir,1-2 korda nädalas,3-4 päeval nädalas,1-2 korda nädalas,5-6 päeval nädalas,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,1-2 korda nädalas,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Kord nädalas,Pigem vajalik,Väga vajalik,Väga vajalik
163,Pärnumaa,8. klassis,"Jah, olen",Linnas,Leht- ja peasalat,Nuikapsas ,Kurk,Paprika,Porgand,Maasikad,Mustikad,Õun,Vaarikad,Pirn,Joogipiim,Keefir,Jogurt,3-4 päeval nädalas,5-6 päeval nädalas,1-2 korda nädalas,Iga päev,5-6 päeval nädalas,Ei söö/joo üldse,Ei söö/joo üldse,1-2 korda nädalas,Sööb pigem rohkem,Ei ole muutusi,Ei ole muutusi,Kord kuus,Pigem vajalik,Väga vajalik,Väga vajalik
165,Pärnumaa,8. klassis,"Jah, olen",Linnas,Kurk,Tomat,Paprika,Lehtkapsas ,Porgand,Vaarikad,Õun,Pirn,Maasikad,Mustikad,Jogurt,Joogipiim,Keefir,5-6 päeval nädalas,5-6 päeval nädalas,3-4 päeval nädalas,5-6 päeval nädalas,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,5-6 päeval nädalas,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Kord nädalas,Pigem ebavajalik,Väga vajalik,Väga vajalik
166,Pärnumaa,4. klassis,"Jah, olen",Linnas,Kurk,Tomat,Porgand,Paprika,"Kapsas (valge, punane) ",Õun,Pohlad,Vaarikad,Maasikad,Ebaküdoonia,Joogipiim,Jogurt,,3-4 päeval nädalas,1-2 korda nädalas,1-2 korda nädalas,5-6 päeval nädalas,Paar korda kuus,Paar korda kuus,Ei söö/joo üldse,1-2 korda nädalas,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Ei oska öelda,Pigem vajalik,Väga vajalik,Pigem vajalik
167,Pärnumaa,4. klassis,Ei oska öelda,Linnas,Kurk,Tomat,Nuikapsas ,Porgand,Herned,Maasikad,Vaarikad,Õun,Mustikad,Punased sõstrad,Joogipiim,Jogurt,Keefir,3-4 päeval nädalas,3-4 päeval nädalas,1-2 korda nädalas,5-6 päeval nädalas,1-2 korda nädalas,Paar korda kuus,Paar korda kuus,1-2 korda nädalas,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Kord nädalas,Pigem vajalik,Pigem vajalik,Pigem vajalik
169,Jõgevamaa,8. klassis,"Jah, olen",Linnas,Porgand,Kurk,"Kapsas (valge, punane) ",Tomat,Lillkapsas,Õun,Pirn,Maasikad,Vaarikad,Mustikad,Joogipiim,Jogurt,Keefir,Iga päev,5-6 päeval nädalas,Paar korda kuus,Iga päev,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,1-2 korda nädalas,Sööb pigem rohkem,Ei ole muutusi,Ei ole muutusi,Mitu korda kuus,Väga vajalik,Väga vajalik,Pigem vajalik
170,Pärnumaa,4. klassis,"Jah, olen",Linnas,Porgand,Tomat,Kurk,Kõrvits ,Sibul,Õun,Pirn,Mustikad,Vaarikad,Ploomid,Joogipiim,Jogurt,Keefir,Iga päev,3-4 päeval nädalas,1-2 korda nädalas,3-4 päeval nädalas,1-2 korda nädalas,Ei söö/joo üldse,Ei söö/joo üldse,3-4 päeval nädalas,Sööb palju rohkem,Sööb palju rohkem,Ei ole muutusi,Ei oska öelda,Pigem vajalik,Väga vajalik,Väga vajalik
171,Pärnumaa,4. klassis,Ei ole,Linnas,Hiina kapsas,Kurk,Tomat,Porgand,"Kapsas (valge, punane) ",Õun,Pirn,Ploomid,Maasikad,Karusmarjad (tikrid),Joogipiim,Jogurt,Keefir,1-2 korda nädalas,1-2 korda nädalas,1-2 korda nädalas,Iga päev,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,Iga päev,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Kord nädalas,Väga vajalik,Väga vajalik,Väga vajalik
173,Pärnumaa,4. klassis,"Jah, olen",Linnas,Kurk,Tomat,Paprika,Porgand,"Kapsas (valge, punane) ",Pohlad,Mustikad,Mustad sõstrad,Vaarikad,Kirsid,Joogipiim,Jogurt,Keefir,1-2 korda nädalas,3-4 päeval nädalas,3-4 päeval nädalas,3-4 päeval nädalas,1-2 korda nädalas,Ei söö/joo üldse,Ei söö/joo üldse,1-2 korda nädalas,Sööb pigem rohkem,Ei ole muutusi,Ei ole muutusi,Kord nädalas,Pigem ebavajalik,Väga vajalik,Väga vajalik
174,Pärnumaa,4. klassis,"Jah, olen",Linnas,Porgand,Peet,Sibul,Tomat,"Kapsas (valge, punane) ",Jõhvikad,Maasikad,Mustad sõstrad,Õun,Pirn,Joogipiim,Jogurt,Keefir,Iga päev,Iga päev,3-4 päeval nädalas,Iga päev,1-2 korda nädalas,Paar korda kuus,Paar korda kuus,Iga päev,Ei ole muutusi,Ei ole muutusi,Sööb palju rohkem,Vähemalt kord päevas,Väga vajalik,Väga vajalik,Väga vajalik
175,Jõgevamaa,4. klassis,"Jah, olen",Linnas,Kurk,Lillkapsas,Paprika,Porgand,Peet,Maasikad,Mustikad,Vaarikad,Ebaküdoonia,Õun,Joogipiim,Keefir,Jogurt,3-4 päeval nädalas,3-4 päeval nädalas,1-2 korda nädalas,Iga päev,1-2 korda nädalas,Ei söö/joo üldse,Ei söö/joo üldse,1-2 korda nädalas,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Ei oska öelda,Pigem vajalik,Väga vajalik,Pigem vajalik
177,Pärnumaa,8. klassis,Ei oska öelda,Maal,Nuikapsas ,Kurk,Porgand,Tomat,,Maasikad,Pirn,Õun,Kirsid,Vaarikad,Jogurt,Joogipiim,,Iga päev,1-2 korda nädalas,Paar korda kuus,1-2 korda nädalas,Ei söö/joo üldse,Ei söö/joo üldse,Ei söö/joo üldse,Iga päev,Ei ole muutusi,Sööb pigem rohkem,Ei ole muutusi,Kord nädalas,Väga vajalik,Väga vajalik,Väga vajalik
178,Hiiumaa,8. klassis,Ei ole,Linnas,Tomat,Kurk,Sibul,Porgand,Paprika,Mustikad,Maasikad,Punased sõstrad,Vaarikad,Õun,Joogipiim,Jogurt,,3-4 päeval nädalas,3-4 päeval nädalas,3-4 päeval nädalas,3-4 päeval nädalas,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,1-2 korda nädalas,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Kord nädalas,Pigem ebavajalik,Pigem ebavajalik,Pigem ebavajalik
179,Harjumaa,11. klassis,"Jah, olen",Maal,Kurk,Tomat,Leht- ja peasalat,Paprika,Hiina kapsas,Õun,Maasikad,Vaarikad,Mustad sõstrad,Mustikad,Joogipiim,Jogurt,,Iga päev,5-6 päeval nädalas,3-4 päeval nädalas,1-2 korda nädalas,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,1-2 korda nädalas,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Mitu korda nädalas,Väga vajalik,Väga vajalik,Väga vajalik
180,Pärnumaa,4. klassis,"Jah, olen",Linnas,Kurk,Nuikapsas ,Porgand,Leht- ja peasalat,Lillkapsas,Mustikad,Maasikad,Vaarikad,Pirn,Õun,Joogipiim,Jogurt,Keefir,Iga päev,5-6 päeval nädalas,3-4 päeval nädalas,Iga päev,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,1-2 korda nädalas,Sööb pigem vähem,Ei ole muutusi,Ei ole muutusi,Mitu korda nädalas,Pigem vajalik,Väga vajalik,Väga vajalik
182,Harjumaa,4. klassis,Ei ole,Linna lähikonnas,Porgand,Tomat,Kurk,Kõrvits ,Redis,Kirsid,Õun,Punased sõstrad,Mustad sõstrad,Maasikad,Joogipiim,Jogurt,Keefir,1-2 korda nädalas,1-2 korda nädalas,Paar korda kuus,Iga päev,1-2 korda nädalas,Ei söö/joo üldse,Ei söö/joo üldse,Paar korda kuus,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Mitu korda nädalas,Pigem vajalik,Pigem vajalik,Väga vajalik
183,Pärnumaa,8. klassis,Ei ole,Linna lähikonnas,Kurk,Lehtkapsas ,Paprika,Porgand,Tomat,Maasikad,Pirn,Õun,Ploomid,Karusmarjad (tikrid),Joogipiim,Jogurt,Pett,1-2 korda nädalas,1-2 korda nädalas,Ei oska öelda,Iga päev,Ei söö/joo üldse,Ei söö/joo üldse,Ei söö/joo üldse,1-2 korda nädalas,Sööb pigem rohkem,Sööb pigem rohkem,Sööb palju rohkem,Kord kuus,Väga vajalik,Väga vajalik,Väga vajalik
184,Järvamaa,4. klassis,"Jah, olen",Maal,Kurk,Herned,Porgand,Sibul,Tomat,Õun,Maasikad,Ploomid,Vaarikad,Pirn,Keefir,Jogurt,Joogipiim,3-4 päeval nädalas,3-4 päeval nädalas,Paar korda kuus,Iga päev,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,1-2 korda nädalas,Sööb pigem rohkem,Sööb pigem rohkem,Sööb pigem rohkem,Mitu korda nädalas,Pigem vajalik,Väga vajalik,Pigem vajalik
186,Pärnumaa,8. klassis,"Jah, olen",Linnas,Kurk,Paprika,Porgand,Sibul,Tomat,Maasikad,Mustikad,Pirn,Ploomid,Vaarikad,Jogurt,,,5-6 päeval nädalas,3-4 päeval nädalas,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,Ei söö/joo üldse,Ei söö/joo üldse,5-6 päeval nädalas,Sööb palju rohkem,Ei ole muutusi,Ei ole muutusi,Ei oska öelda,Pigem ebavajalik,Väga vajalik,Väga vajalik
187,Harjumaa,4. klassis,"Jah, olen",Linna lähikonnas,Kurk,Paprika,Tomat,Peet,Porgand,Maasikad,Mustikad,Vaarikad,Õun,Mustad sõstrad,Joogipiim,Keefir,Jogurt,Iga päev,Iga päev,1-2 korda nädalas,Iga päev,1-2 korda nädalas,Ei söö/joo üldse,Ei söö/joo üldse,1-2 korda nädalas,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Mitu korda nädalas,Pigem vajalik,Pigem vajalik,Pigem vajalik
188,Tartumaa,4. klassis,"Jah, olen",Maal,Porgand,Kurk,Tomat,"Kapsas (valge, punane) ",Peet,Õun,Maasikad,Mustikad,Mustad sõstrad,Vaarikad,Joogipiim,Keefir,Jogurt,3-4 päeval nädalas,3-4 päeval nädalas,1-2 korda nädalas,Iga päev,1-2 korda nädalas,Ei söö/joo üldse,Ei söö/joo üldse,Paar korda kuus,Sööb pigem rohkem,Ei ole muutusi,Ei ole muutusi,Mitu korda nädalas,Pigem vajalik,Pigem vajalik,Pigem vajalik
190,Tartumaa,4. klassis,"Jah, olen",Maal,Paprika,Kurk,Tomat,Lillkapsas,Herned,Mustikad,Maasikad,Vaarikad,Õun,Kirsid,Joogipiim,Jogurt,,3-4 päeval nädalas,3-4 päeval nädalas,1-2 korda nädalas,1-2 korda nädalas,Ei söö/joo üldse,Ei söö/joo üldse,Ei söö/joo üldse,1-2 korda nädalas,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Kord nädalas,Pigem vajalik,Pigem vajalik,Pigem vajalik
191,Järvamaa,8. klassis,"Jah, olen",Maal,Kurk,Tomat,Porgand,Sibul,Paprika,Õun,Pirn,Maasikad,Vaarikad,Kirsid,Jogurt,Joogipiim,Keefir,1-2 korda nädalas,1-2 korda nädalas,Paar korda kuus,5-6 päeval nädalas,1-2 korda nädalas,Ei söö/joo üldse,1-2 korda nädalas,1-2 korda nädalas,Sööb pigem rohkem,Ei ole muutusi,Ei ole muutusi,Kord kuus,Väga vajalik,Väga vajalik,Väga vajalik
192,Lääne-Virumaa,8. klassis,"Jah, olen",Linnas,Kurk,Paprika,Porgand,Tomat,Peet,Õun,Mustikad,Maasikad,Mustad sõstrad,Vaarikad,Jogurt,Joogipiim,Keefir,1-2 korda nädalas,1-2 korda nädalas,1-2 korda nädalas,Iga päev,3-4 päeval nädalas,Ei söö/joo üldse,Ei söö/joo üldse,Iga päev,Sööb palju rohkem,Sööb palju rohkem,Sööb pigem rohkem,Kord nädalas,Väga vajalik,Väga vajalik,Väga vajalik
194,Lääne-Virumaa,4. klassis,"Jah, olen",Linnas,Herned,"Kapsas (valge, punane) ",Kurk,Nuikapsas ,Paprika,Maasikad,Vaarikad,Õun,Kirsid,Pirn,Joogipiim,Keefir,Jogurt,Iga päev,Iga päev,Iga päev,Iga päev,3-4 päeval nädalas,1-2 korda nädalas,1-2 korda nädalas,1-2 korda nädalas,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Kord nädalas,Väga vajalik,Väga vajalik,Väga vajalik
195,Järvamaa,11. klassis,"Jah, olen",Maal,Porgand,Kurk,Paprika,Peet,,Maasikad,Mustikad,Õun,Ploomid,,Joogipiim,Jogurt,Keefir,Iga päev,5-6 päeval nädalas,1-2 korda nädalas,Iga päev,1-2 korda nädalas,Ei söö/joo üldse,Ei söö/joo üldse,1-2 korda nädalas,Ei ole muutusi,Sööb palju rohkem,Ei ole muutusi,Ei oska öelda,Pigem vajalik,Pigem vajalik,Pigem vajalik
